window,flow_count,flow_duration_mean,fwd_packets_mean,bwd_packets_mean,fwd_bytes_sum,bwd_bytes_sum,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_mean,bwd_iat_mean,syn_count,ack_count,rst_count,fin_count,psh_fwd_count,psh_bwd_count,urg_fwd_count,urg_bwd_count,packet_length_mean,packet_length_std,packets_per_second,bytes_per_second,down_up_ratio,active_mean,active_std,idle_mean,idle_std,infiltration_label,packet_count,unique_src_ips,unique_dst_ips,unique_src_ports,unique_dst_ports,ttl_mean,ttl_std,tcp_window_mean,tcp_window_std,payload_mean,payload_sum,payload_max,fragmented_packets,window_start_sec
0,356,9018930.676966293,5.379213483146067,3.6713483146067416,162763,342800,1378545.9622955986,1217681.353553466,56320408,0,1830619.0803607977,1270965.7807566759,10,123,84,0,10,0,0,0,85.0530479637955,137.60573013015676,,26928.583183088424,0.39325842696629215,751181.1464956395,348666.33389538474,4017583.317335474,424130.2415513839,0,92.0,8.0,7.0,16.0,17.0,114.28260869565217,27.44678210765296,9463.701149425287,17599.805878365853,186.05434782608697,17117.0,1460.0,0.0,0
1,549,9899782.426229509,5.049180327868853,5.063752276867031,223261,1621633,1294712.870471869,1217702.1202842998,59936525,0,1629853.4030736827,1278972.5476833677,80,227,106,4,80,0,0,0,85.99321682834172,118.70294944224936,,,0.43169398907103823,347686.14908639784,26996.93120663281,3903501.4445835953,358155.569900328,0,124.0,10.0,9.0,17.0,17.0,116.31451612903226,24.464132343262882,14365.125,25509.854239496926,974.9354838709677,120892.0,32120.0,0.0,60
2,1438,17495980.80319889,5.212795549374131,4.748956884561892,564694,2387136,1278639.275300527,1529193.2680736794,59000000,0,1806740.4330565897,1227615.7061827763,57,269,413,6,57,0,0,0,101.97708461273568,146.5680126305082,,,0.6557719054242003,207504.00115486167,179206.48177833256,5795109.9970358405,150895.28216801735,0,223.0,10.0,8.0,29.0,30.0,172.542600896861,72.10125966622996,1701.0578947368422,5513.807744489408,579.8520179372198,129307.0,1460.0,0.0,120
3,685,17850666.848175183,6.211678832116788,5.957664233576643,320035,1927856,1102665.104238527,1758216.0191161253,59936460,0,1608738.3443425973,1558013.3081775308,30,176,199,4,30,0,0,0,101.02803365940234,146.84509124030293,,,0.5824817518248175,401010.54523352574,172857.45318338604,6197070.650696001,355697.77734451066,0,976.0,15.0,14.0,58.0,58.0,91.87807377049181,59.284697647518065,2496.3810043668122,9595.258450747648,601.109631147541,586683.0,1460.0,0.0,180
4,1413,13988517.36022647,4.438782731776362,3.930644019815994,384026,1876257,833904.9421874586,1447604.3371960332,59000000,0,1238922.1709536242,938323.6287364952,127,332,316,6,127,0,0,0,81.59543070067403,110.52286262547976,,,0.6334041047416844,199097.56081685663,55794.80958128214,5117893.28927837,120101.8278982645,0,588.0,25.0,24.0,55.0,57.0,99.90136054421768,57.525733504072264,7072.056880733945,18225.274706799428,364.90816326530614,214566.0,1460.0,0.0,240
5,445,11572773.696629213,5.197752808988764,3.2651685393258427,186018,337749,2395226.8170672753,1195582.5483045923,59936415,0,2674770.059426115,1203109.2880829105,61,212,99,8,61,0,0,0,73.07953837355798,114.8256011725856,,120113.96567168144,0.36179775280898874,725383.2431870209,342864.24717523356,4673455.235233231,373707.107942615,0,273.0,23.0,25.0,37.0,37.0,116.63003663003663,56.06474833840472,9450.181451612903,20098.567500350167,138.34798534798534,37769.0,1460.0,0.0,300
6,552,7362444.219202898,5.244565217391305,4.09963768115942,305467,617960,958691.7996524421,926539.4614442157,58400000,0,1130531.1645631595,657146.4826938186,29,205,177,4,29,0,0,0,100.1355442240924,161.58156203765995,,173769.84591747573,0.4746376811594203,279438.31643271475,227094.5671339274,2877779.344844015,243537.04073066064,0,120.0,13.0,15.0,22.0,22.0,100.81666666666666,44.93730148135032,6967.089285714285,17625.265327529974,193.26666666666668,23192.0,1460.0,0.0,360
7,652,5468331.455521473,4.855828220858895,3.2576687116564416,273504,588197,1048777.9645595495,755942.278218823,59936383,0,1179581.6140792437,698530.0785256457,101,287,179,8,101,0,0,0,88.98105972386381,135.62813959876735,,771053.1794877845,0.4003067484662577,489974.8499488242,247883.88623033234,2639039.2264826177,212643.2220870453,0,169.0,17.0,16.0,24.0,24.0,108.80473372781066,28.804612334557696,11005.017964071856,21590.46045912464,183.4023668639053,30995.0,1460.0,0.0,420
8,1151,16847767.181581233,6.119026933101651,5.816681146828844,1020195,3046102,1115260.4001491505,1346858.5920286858,59242081,0,1491947.3938041497,999554.5562251603,43,159,382,0,43,0,0,0,110.67644818361121,153.7457298733292,7347.572537742306,155630.54679051373,0.6394439617723718,151456.13750944205,99181.64919499168,5239106.290477793,217977.0467927564,0,86.0,8.0,8.0,16.0,17.0,150.3953488372093,82.26603602942424,2879.7042253521126,5530.494032167383,90.4186046511628,7776.0,711.0,0.0,480
9,605,8545700.940495867,6.011570247933884,5.019834710743802,349366,909402,1187353.1768388578,883291.1673469748,59936402,0,1381721.3438197598,907100.1604991233,9,122,229,0,9,0,0,0,109.16549770977188,174.24457389969075,,,0.47603305785123967,365486.946005428,326647.3726884667,3067178.9777210616,258965.18069800592,0,75.0,7.0,7.0,16.0,15.0,110.72,37.148554953525924,7092.907692307693,10821.187388237307,246.62666666666667,18497.0,1460.0,0.0,540
